time,type,desc,amount,balance
2023-01-01T09:00:00,Credit,ACME Corp Salary,50000.00,50000.00
2023-01-02T10:00:00,Debit,Downtown PG Rent,15000.00,35000.00
2023-01-05T14:30:00,Debit,UPI-Zomato,500.00,34500.00
2023-01-08T03:45:00,Debit,Amazon Shopping Night,2000.00,32500.00
2023-01-10T09:15:00,Debit,Electricity Bill,1000.00,31500.00
2023-01-12T13:00:00,Debit,UPI-Swiggy,300.00,31200.00
2023-01-15T18:20:00,Debit,Jio Mobile Recharge,600.00,30600.00
2023-01-18T19:00:00,Debit,UPI-Groceries Mart,1500.00,29100.00
2023-01-22T04:10:00,Debit,Steam Games,1200.00,27900.00
2023-01-25T11:00:00,Debit,Late Fee Bank Penalty,500.00,27400.00
2023-01-28T20:00:00,Debit,UPI-Uber,450.00,26950.00
2023-02-01T09:00:00,Credit,ACME Corp Salary,50000.00,76950.00
2023-02-02T10:00:00,Debit,Downtown PG Rent,15000.00,61950.00
2023-02-05T14:30:00,Debit,UPI-Zomato,550.00,61400.00
2023-02-12T13:00:00,Debit,UPI-BookMyShow,1000.00,60400.00
2023-02-15T18:20:00,Debit,Wifi Broadband Bill,800.00,59600.00
